,Domain,Phylum,Class,Order,Family,Genus
Seq17082,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,
Seq17083,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,uncultured
Seq17084,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,uncultured
Seq17085,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,Candidatus Rhabdochlamydia
Seq17086,Bacteria,Chloroflexi,TK10,,,
Seq17087,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,uncultured
Seq17088,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella
Seq17089,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncultured,
Seq17090,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Seq17091,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella
Seq17092,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
Seq17093,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Seq17094,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Seq17095,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Seq17096,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Kushneria
Seq17097,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Nitrincola
Seq17098,Bacteria,Chloroflexi,Dehalococcoidia,GIF3,,
Seq17099,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
Seq17100,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Gillisia
Seq17101,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Chryseobacterium
Seq17102,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Seq17103,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured
Seq17104,Bacteria,Candidate division OD1,,,,
Seq17105,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum
Seq17106,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
Seq17107,Bacteria,Candidate division OD1,,,,
Seq17108,Bacteria,Proteobacteria,Gammaproteobacteria,BD7-8 marine group,,
Seq17109,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea
Seq17110,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,OM60(NOR5) clade
Seq17111,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Seq17112,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Kangiella
Seq17113,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Marinilactibacillus
Seq17114,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,WCHB1-69,
Seq17115,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Seq17116,Bacteria,Proteobacteria,,,,
Seq17117,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Seq17118,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
Seq17119,Bacteria,Gemmatimonadetes,Gemmatimonadetes,BD2-11 terrestrial group,,
Seq17120,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Sediminibacter
Seq17121,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured
Seq17122,Bacteria,Proteobacteria,Deltaproteobacteria,Sh765B-TzT-29,,
Seq17123,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured
Seq17124,Bacteria,Proteobacteria,ARKICE-90,,,
Seq17125,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Aequorivita
Seq17126,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia
Seq17127,Bacteria,Chloroflexi,Dehalococcoidia,FW22,,
Seq17128,Bacteria,Candidate division WS3,,,,
Seq17129,Bacteria,Chloroflexi,Dehalococcoidia,FW22,,
Seq17130,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium
Seq17131,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
Seq17132,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Bowmanella
Seq17133,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovorax
Seq17134,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Seq17135,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Seq17136,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,
Seq17137,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured
Seq17138,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Seq17139,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured
Seq17140,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Seq17141,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,RC9 gut group
Seq17142,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
Seq17143,Bacteria,Planctomycetes,OM190,,,
Seq17144,Bacteria,Actinobacteria,OPB41,,,
Seq17145,Bacteria,Chloroflexi,Dehalococcoidia,Napoli-4B-65,,
Seq17146,Bacteria,Proteobacteria,Gammaproteobacteria,CK-1C2-67,,
Seq17147,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Family Incertae Sedis,Candidatus Microthrix
Seq17148,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,BD1-7 clade
Seq17149,Bacteria,Candidate division BRC1,,,,
Seq17150,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,PAUC26f,
Seq17151,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Thiohalophilus
Seq17152,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq17153,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Milano-WF1B-03,
Seq17154,Bacteria,Proteobacteria,Gammaproteobacteria,NKB5,,
Seq17155,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,JG34-KF-361,
Seq17156,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae Sedis
Seq17157,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces
Seq17158,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Seq17159,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
Seq17160,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,WCHB1-69,
Seq17161,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ideonella
Seq17162,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Brenneria
Seq17163,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium
Seq17164,Bacteria,Cyanobacteria,Chloroplast,,,
Seq17165,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola
Seq17166,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
Seq17167,Bacteria,Lentisphaerae,Lentisphaeria,WCHB1-41,,
Seq17168,Bacteria,Planctomycetes,Pla4 lineage,,,
Seq17169,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marivirga
Seq17170,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium
Seq17171,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Seq17172,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,
Seq17173,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus
Seq17174,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia
Seq17175,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospira
Seq17176,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,Candidatus Rhabdochlamydia
Seq17177,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia
Seq17178,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
Seq17179,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Seq17180,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Deep Sea Hydrothermal Vent Gp 6(DHVEG-6),
Seq17181,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Deep Sea Hydrothermal Vent Gp 6(DHVEG-6),
Seq17182,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Seq17183,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,uncultured
Seq17184,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,
Seq17185,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Pseudobutyrivibrio
Seq17186,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium
Seq17187,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Seq17188,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Seq17189,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Seq17190,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
Seq17191,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Seq17192,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Seq17193,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,
Seq17194,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
Seq17195,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Seq17196,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,uncultured
Seq17197,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Seq17198,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Seq17199,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae Sedis
Seq17200,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
Seq17201,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,uncultured
Seq17202,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq17203,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
Seq17204,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Chesapeake-Delaware Bay,
Seq17205,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Seq17206,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
Seq17207,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS3a marine group
Seq17208,Bacteria,Proteobacteria,Betaproteobacteria,UCT N117,,
Seq17209,Bacteria,Chloroflexi,SL56 marine group,,,
Seq17210,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,uncultured
Seq17211,Bacteria,Proteobacteria,Betaproteobacteria,TRA3-20,,
Seq17212,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29 marine group
Seq17213,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,marine group
Seq17214,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Maritimimonas
Seq17215,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Seq17216,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,uncultured
Seq17217,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Arsenicicoccus
Seq17218,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,uncultured
Seq17219,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Mesonia
Seq17220,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Seq17221,Bacteria,Gemmatimonadetes,Gemmatimonadetes,BD2-11 terrestrial group,,
Seq17222,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Simiduia
Seq17223,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Methylonatrum
Seq17224,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,uncultured
Seq17225,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Seq17226,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
Seq17227,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq17228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira
Seq17229,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira
Seq17230,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,BD1-7 clade
Seq17231,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq17232,Bacteria,Proteobacteria,Alphaproteobacteria,SB1-18,,
Seq17233,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira
Seq17234,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,uncultured
Seq17235,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq17236,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade
Seq17237,Bacteria,Cyanobacteria,Chloroplast,,,
Seq17238,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured
Seq17239,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,WCHB1-69,
Seq17240,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Wenxinia
Seq17241,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pir4 lineage
Seq17242,Bacteria,Planctomycetes,OM190,,,
Seq17243,Bacteria,Planctomycetes,Planctomycetacia,Brocadiales,Brocadiaceae,Candidatus Jettenia
Seq17244,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum
Seq17245,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq17246,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Seq17247,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Seq17248,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylophilus
Seq17249,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,uncultured
Seq17250,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Seq17251,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas
Seq17252,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus
Seq17253,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,uncultured
Seq17254,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,SEEP-SRB1
Seq17255,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Ho(lab),
Seq17256,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium
Seq17257,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Seq17258,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
Seq17259,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
Seq17260,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
Seq17261,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia
Seq17262,Bacteria,Acidobacteria,Acidobacteria,Subgroup 11,,
Seq17263,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,
Seq17264,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,
Seq17265,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus
Seq17266,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,WCHB1-69,
Seq17267,Bacteria,Candidate division BRC1,,,,
Seq17268,Bacteria,Proteobacteria,Betaproteobacteria,B1-7BS,,
Seq17269,Bacteria,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,uncultured
Seq17270,Bacteria,Proteobacteria,Deltaproteobacteria,GR-WP33-30,,
Seq17271,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade NAC11-7 lineage
Seq17272,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella
Seq17273,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,uncultured
Seq17274,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Kangiella
Seq17275,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus
Seq17276,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
Seq17277,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis
Seq17278,Bacteria,Planctomycetes,OM190,,,
Seq17279,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella
Seq17280,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncultured,
Seq17281,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces
Seq17282,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
Seq17283,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter
Seq17284,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
Seq17285,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq17286,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Palleronia
Seq17287,Bacteria,Planctomycetes,Phycisphaerae,MSB-3A7 sediment group,,
Seq17288,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Seq17289,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,uncultured
Seq17290,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Seq17291,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Family Incertae Sedis,Blastocatella
Seq17292,Bacteria,Proteobacteria,Betaproteobacteria,Hot Creek 32,,
Seq17293,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
Seq17294,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Seq17295,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured
Seq17296,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,EF100-94H03,
Seq17297,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Rhodopirellula
Seq17298,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,
Seq17299,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula
Seq17300,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas
Seq17301,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Crenotrichaceae,Crenothrix
Seq17302,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,
Seq17303,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Rhodobium
Seq17304,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured
Seq17305,Bacteria,BD1-5,,,,
Seq17306,Bacteria,Proteobacteria,pItb-vmat-80,,,
Seq17307,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncultured,
Seq17308,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas
Seq17309,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Seq17310,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter
Seq17311,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq17312,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade AS-21 lineage
Seq17313,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter
Seq17314,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SS1-B-06-26,
Seq17315,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,uncultured
Seq17316,Archaea,Thaumarchaeota,Marine Group I,,,
Seq17317,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
Seq17318,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Kangiella
Seq17319,Bacteria,Chloroflexi,Dehalococcoidia,GIF3,,
Seq17320,Bacteria,Chloroflexi,JG30-KF-CM66,,,
Seq17321,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Deferrisoma
Seq17322,Bacteria,Gemmatimonadetes,Gemmatimonadetes,PAUC43f marine benthic group,,
Seq17323,Bacteria,Firmicutes,Bacilli,Bacillales,Family XII Incertae Sedis,Exiguobacterium
Seq17324,Bacteria,Candidate division OD1,,,,
Seq17325,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira
Seq17326,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
Seq17327,Bacteria,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,Thiobacillus
Seq17328,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum
Seq17329,Bacteria,Proteobacteria,Gammaproteobacteria,Sva0071,,
Seq17330,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Seq17331,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq17332,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera
Seq17333,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,RC9 gut group
Seq17334,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
Seq17335,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured
Seq17336,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,
Seq17337,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Elev-16S-1332,
Seq17338,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
Seq17339,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
Seq17340,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Seq17341,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira
Seq17342,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq17343,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter
Seq17344,Bacteria,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,Hydrogenophilus
Seq17345,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Seq17346,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Seq17347,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,uncultured
Seq17348,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Seq17349,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
Seq17350,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Pseudochrobactrum
Seq17351,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Pseudochrobactrum
Seq17352,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Seq17353,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas
